TRADE_AREA,is_chain,has_delivery,MCT_OPE_MONTHS,MCT_OPE_MONTHS_QUANTILE,MCT_OPE_MS_GRADE,RC_UNIT_PRICE_RATIO,RC_M1_SAA,RC_M1_TO_UE_CT,RC_M1_AV_NP_AT,M12_SME_RY_SAA_PCE_RT,M12_SME_BZN_SAA_PCE_RT,M12_SME_RY_ME_MCT_RAT,M12_SME_BZN_ME_MCT_RAT,DLV_SAA_RAT,DLV_SAA_RAT_LOG,M12_MAL_1020_RAT,M12_MAL_30_RAT,M12_MAL_40_RAT,M12_MAL_50_RAT,M12_MAL_60_RAT,M12_FME_1020_RAT,M12_FME_30_RAT,M12_FME_40_RAT,M12_FME_50_RAT,M12_FME_60_RAT,MCT_UE_CLN_REU_RAT,MCT_UE_CLN_NEW_RAT,RC_M1_SHC_RSD_UE_CLN_RAT,RC_M1_SHC_WP_UE_CLN_RAT,RC_M1_SHC_FLP_UE_CLN_RAT,INDUSTRY_SALES_RATIO_NORM,INDUSTRY_STORES_RATIO_NORM,LOYALTY_SCORE,LOYALTY_SCORE_DELTA,AGE30_GENDER_DIFF,RC_M1_SAA_roll3,RC_M1_SAA_mom,RC_M1_SAA_yoy,RC_M1_TO_UE_CT_roll3,RC_M1_TO_UE_CT_mom,RC_M1_TO_UE_CT_yoy,RC_M1_AV_NP_AT_roll3,RC_M1_AV_NP_AT_mom,RC_M1_AV_NP_AT_yoy,RC_UNIT_PRICE_RATIO_roll3,RC_UNIT_PRICE_RATIO_mom,RC_UNIT_PRICE_RATIO_yoy,DLV_SAA_RAT_roll3,DLV_SAA_RAT_mom,DLV_SAA_RAT_yoy,MCT_UE_CLN_REU_RAT_roll3,MCT_UE_CLN_REU_RAT_mom,MCT_UE_CLN_REU_RAT_yoy,MCT_UE_CLN_NEW_RAT_roll3,MCT_UE_CLN_NEW_RAT_mom,MCT_UE_CLN_NEW_RAT_yoy,RC_M1_SHC_RSD_UE_CLN_RAT_roll3,RC_M1_SHC_RSD_UE_CLN_RAT_mom,RC_M1_SHC_RSD_UE_CLN_RAT_yoy,RC_M1_SHC_WP_UE_CLN_RAT_roll3,RC_M1_SHC_WP_UE_CLN_RAT_mom,RC_M1_SHC_WP_UE_CLN_RAT_yoy,RC_M1_SHC_FLP_UE_CLN_RAT_roll3,RC_M1_SHC_FLP_UE_CLN_RAT_mom,RC_M1_SHC_FLP_UE_CLN_RAT_yoy,LOYALTY_SCORE_roll3,LOYALTY_SCORE_mom,LOYALTY_SCORE_yoy,LOYALTY_SCORE_DELTA_roll3,LOYALTY_SCORE_DELTA_mom,LOYALTY_SCORE_DELTA_yoy,CUST_REVISIT_TO_NEW_RATIO,CUST_FLOATING_TO_RESIDENT_RATIO,CUST_FLOATING_MINUS_RESIDENT,CUST_WORKER_TO_RESIDENT_RATIO,CUST_FEMALE_SHARE,CUST_FEMALE_TO_MALE_RATIO,CUST_YOUNG_SHARE,CUST_YOUNG_FOCUS_FLAG,MCT_UE_CLN_REU_RAT_vs_category,MCT_UE_CLN_REU_RAT_vs_trade_area,MCT_UE_CLN_NEW_RAT_vs_trade_area,RC_M1_SHC_RSD_UE_CLN_RAT_vs_category,RC_M1_SHC_RSD_UE_CLN_RAT_vs_trade_area,RC_M1_SHC_WP_UE_CLN_RAT_vs_category,RC_M1_SHC_WP_UE_CLN_RAT_vs_trade_area,RC_M1_SHC_FLP_UE_CLN_RAT_vs_category,RC_M1_SHC_FLP_UE_CLN_RAT_vs_trade_area,LOYALTY_SCORE_vs_category,LOYALTY_SCORE_vs_trade_area,FE_mid_aged_male_ratio
답십리,1,1,62,4,0.417,2,0.417,0.083,0.917,3.2,9.7,18.0,7.7,2.1,1.131402111,14.220000000000002,17.400000000000002,11.340000000000002,12.240000000000002,4.800000000000001,9.480000000000002,11.6,7.56,8.160000000000002,3.2000000000000006,36.99,4.7,37.13713713713714,9.80980980980981,53.05305305305305,86.82970219254673,96.24737194741584,32.29,32.29,5.8,0.3056666666666666,0.6679999999999999,0.0,0.083,0.0,0.0,0.8613333333333334,0.0,0.2226666666666668,2.6666666666666665,-0.3333333333333333,-0.5,1.5999999999999996,0.7500000000000002,0.3125,36.71333333333333,0.0079019073569481,0.0131470829909614,5.573333333333333,-0.0599999999999999,-0.0996168582375478,36.379045712379046,0.0702344996293122,0.1715185216762504,10.70326993660327,-0.1686601856093381,-0.0657323990657323,52.91768435101768,-0.0083541485410645,-0.0821271098087706,31.14,0.0186119873817034,0.0319590923617769,31.140000000000004,0.0186119873817034,0.0319590923617769,7.870212765957447,1.4285714285714284,15.91591591591591,0.2641509433962264,40.00000000000001,0.6666666666666666,52.70000000000001,1.0,4.507534494953205,4.8767125984252,-5.648602362204724,5.57941030558495,5.555934613338476,-7.380687671324278,-7.380143534296881,1.801277365739324,1.8242089209584047,10.031544759825326,13.655492125984251,23.580000000000005
미분류,0,0,30,3,0.583,6,0.583,0.25,0.75,21.8,27.8,17.1,8.6,0.0,0.0,9.3492,15.479100000000004,9.437400000000002,5.997600000000001,3.8367,11.8508,19.6209,11.962600000000002,7.602400000000001,4.863300000000001,33.18,5.76,34.6,12.6,52.8,49.99249127833099,50.00346556384723,27.42,27.42,-4.1418,0.583,0.0,0.0,0.25,0.0,0.0,0.75,0.0,0.0,4.333333333333333,0.0,0.1999999999999999,0.0,,,33.080000000000005,-0.0018050541516245,0.0088172696868349,5.773333333333333,0.2151898734177213,0.1925465838509317,43.71724941724941,-0.2836438923395444,-0.1560975609756096,9.13146853146853,0.3695652173913044,1.52,47.15128205128206,0.2423529411764704,-0.0222222222222222,27.30666666666667,-0.0378947368421052,-0.0228082679971488,27.30666666666667,-0.0378947368421052,-0.0228082679971488,5.760416666666667,1.5260115606936415,18.2,0.3641618497109826,55.900000000000006,1.2675736961451245,56.3,1.0,6.425367991832204,2.077882288845153,-3.613467599942007,7.158007067514774,3.7966427836094994,-2.8612441055961977,-3.817513113661155,-4.296762961918581,0.0208703300516575,11.478203346568352,7.364430724823606,15.435000000000002
미분류,0,1,71,4,0.417,4,0.583,0.417,0.75,21.8,27.8,17.1,8.6,38.6,3.678829118,18.0609,16.2085,3.5785,3.3680000000000003,0.8841,24.8391,22.2915,4.9215,4.632,1.2159,34.19,6.51,62.5,10.9,26.6,49.99249127833099,50.00346556384723,27.68,27.68,-6.083,0.583,0.0,0.0,0.417,0.0,0.0,0.75,0.0,0.0,3.0,3.0,0.0,44.833333333333336,-0.1460176991150442,5.03125,35.09,-0.060197910940077,-0.0306209242982706,6.923333333333333,-0.133155792276964,-0.07,56.23333333333333,0.0945709281961471,0.4140271493212668,13.366666666666667,-0.3910614525139664,-0.4858490566037735,30.399999999999995,0.064,-0.2312138728323699,28.16666666666667,-0.0412192587461032,-0.0208701804032542,28.16666666666667,-0.0412192587461034,-0.0208701804032545,5.2519201228878645,0.4256,-35.9,0.1744,57.9,1.3752969121140142,81.4,1.0,7.4353679918322015,3.087882288845151,-2.863467599942007,35.05800706751477,31.69664278360949,-4.561244105596197,-5.517513113661154,-30.496762961918577,-26.17912966994834,11.73820334656835,7.624430724823604,6.9465
장한평자동차,0,1,71,4,0.417,3,0.583,0.25,0.583,23.6,16.7,12.8,6.7,16.3,2.850706502,8.199699699699698,23.049549549549543,13.3003003003003,11.75075075075075,8.199699699699698,4.513013013013013,12.686186186186186,7.32032032032032,6.467467467467468,4.513013013013013,34.44,6.82,17.582417582417584,31.06893106893107,51.34865134865135,66.98357322736409,67.82743802416653,27.62,27.62,10.353,0.583,0.0,0.0,0.3056666666666667,0.0,0.0,0.6943333333333334,-0.2226666666666666,-0.2226666666666666,1.6666666666666667,2.0,0.0,8.533333333333333,1.4696969696969695,0.3813559322033897,32.94,0.0333033303330332,-0.0825785828449654,5.8500000000000005,0.0791139240506328,0.1198686371100163,14.494139194139194,0.6280016280016281,0.098901098901099,32.58964368964369,-0.1487964090703816,0.2427572427572428,52.916217116217126,-0.0256422893994051,-0.1296838754465872,27.090000000000003,0.0225842280636801,-0.1217806041335453,27.090000000000003,0.0225842280636801,-0.1217806041335453,5.049853372434017,2.9204545454545454,33.76623376623377,1.7670454545454546,35.5,0.5503875968992249,48.44844844844844,1.0,1.957534494953201,2.618965851305564,-4.446170979510693,-13.975309249134604,2.5274246705126195,13.878433587796984,5.70655253977797,0.0968756613376271,-8.23397721029059,5.361544759825328,9.884384615384617,25.05105105105105
뚝섬,0,1,12,1,0.75,5,0.583,0.417,0.583,12.0,23.7,18.0,9.0,21.2,3.100092289,8.9666,7.7682,1.6906,2.2042,0.7704,32.9334,28.5318,6.2094,8.0958,2.8296,29.85,2.65,25.925925925925924,37.03703703703704,37.03703703703704,63.36205900700044,23.980546634937504,27.2,27.200000000000003,-20.7636,0.4723333333333332,0.3980815347721822,0.0,0.417,0.0,0.0,0.583,0.0,0.0,3.6666666666666665,4.0,0.0,17.566666666666666,-0.0275229357798165,-0.4493506493506494,29.223333333333333,0.0115215181294476,1.0298000000000005,4.99,-0.4456066945606695,-0.9689310344827586,20.075308641975308,0.416717263711799,0.1032308904649328,35.57901234567901,0.0582010582010581,0.7146776406035664,44.34567901234568,-0.2069156951383932,-0.3253727315658098,24.23333333333333,0.099878689850384,-1.3343166175024583,24.23333333333333,0.0998786898503842,-1.3853333333333333,11.264150943396228,1.4285714285714288,11.111111111111114,1.4285714285714288,78.6,3.6728971962616814,78.2,1.0,3.095367991832205,5.726520844208579,-7.582823296524651,-1.5160670065593038,8.609058996429194,21.57579293144084,16.39725824940113,-20.05972592488154,-25.006317245830324,11.258203346568347,14.583866485013624,3.8948
왕십리,1,1,90,5,0.417,5,0.25,0.083,0.583,3.0,15.4,18.0,9.4,3.5,1.504077397,16.44,13.152,4.11,5.2197,2.1783,23.56,18.848,5.89,7.4803,3.1217,22.64,7.31,22.0,8.0,70.0,91.35630617101404,85.9685095765081,15.33,15.330000000000002,-5.696,0.25,0.0,0.0,0.083,0.0,0.0,0.6943333333333334,-0.2226666666666666,0.0,5.666666666666667,-0.1666666666666666,0.6666666666666667,3.0666666666666664,0.129032258064516,1.3333333333333337,22.286666666666665,0.0211998195760034,0.0827355332376853,6.976666666666667,0.1866883116883115,-0.0919254658385094,22.3,-0.0393013100436681,-0.0983606557377049,9.133333333333333,-0.2156862745098038,0.1764705882352941,68.56666666666666,0.046337817638266,0.0174418604651163,15.31,-0.042473454091193,0.1920684292379471,15.310000000000002,-0.0424734540911929,0.1920684292379473,3.097127222982216,3.1818181818181817,48.0,0.3636363636363636,58.9,1.4330900243309002,72.0,1.0,-4.114632008167796,-4.974778351079252,-1.9420563682554648,-5.441992932485228,-16.513523246893357,-7.461244105596197,-6.116588659906897,12.90323703808142,22.63011190680026,-0.6117966534316501,-0.9164604989604984,9.329699999999999
미분류,0,1,32,3,0.583,6,0.583,0.417,0.75,21.8,27.8,17.1,8.6,3.2,1.435084525,9.477,17.4555,8.3025,4.3335,0.9315,13.923,25.644500000000004,12.1975,6.3665,1.3685,28.94,6.79,18.781218781218783,18.781218781218783,62.43756243756244,49.99249127833099,50.00346556384723,22.15,22.15,-8.189,0.583,0.0,-0.2226666666666666,0.417,0.0,-0.2847341337907375,0.6943333333333334,0.2864493996569468,0.0,5.666666666666667,0.1999999999999999,5.0,1.9,1.9090909090909087,-0.3333333333333332,29.613333333333333,-0.0511475409836065,0.0273340433084841,8.036666666666667,-0.1383248730964467,1.0088757396449703,21.236749270082605,-0.3530193943987046,0.2690012690012691,23.870082603415938,-0.3530193943987046,-0.1539991539991538,54.89316812650146,0.4886664648001164,-0.0089275803561517,21.576666666666668,-0.0207780725022105,-0.1064945542557482,21.576666666666668,-0.0207780725022105,-0.1064945542557483,4.262150220913108,3.324468085106383,43.65634365634366,1.0,59.5,1.469135802469136,66.5,1.0,2.185367991832205,-2.162117711154845,-2.583467599942007,-8.660774151266445,-12.02213843517172,3.3199746756225856,2.363705667557628,5.340799475643863,9.658432767614102,6.208203346568348,2.094430724823603,12.636
미분류,0,1,90,5,0.417,1,0.583,0.25,0.75,21.8,27.8,17.1,8.6,16.4,2.856470206,14.711288711288711,13.796803196803198,5.00979020979021,4.214585414585414,2.067532467532468,22.251748251748253,20.868531468531465,7.577622377622377,6.374825174825174,3.127272727272727,23.95,12.09,32.1,3.0,64.9,49.99249127833099,50.00346556384723,11.86,11.86,-7.0788,0.583,0.0,0.0,0.3056666666666667,-0.4004796163069544,-0.4004796163069544,0.75,0.0,0.0,2.333333333333333,-0.8,0.0,11.5,0.5471698113207546,0.3898305084745761,24.44,-0.0160230073952342,-0.033494753833737,11.14,0.1525262154432793,0.4743902439024392,26.83333333333333,0.4590909090909092,0.1516881720430105,4.266666666666667,-0.5,-0.7388695652173913,68.90000000000002,-0.0986111111111109,0.0702619439868201,13.3,-0.1436823104693141,-0.2846803377563329,13.3,-0.1436823104693141,-0.284680337756333,1.9809760132340777,2.021806853582554,32.800000000000004,0.0934579439252336,60.2,1.5125628140703518,71.62837162837164,1.0,-2.804632008167797,-7.152117711154848,2.716532400057993,4.658007067514774,1.2966427836094994,-12.461244105596196,-13.417513113661157,7.803237038081427,12.120870330051666,-4.081796653431651,-8.195569275176396,9.224375624375623
뚝섬,0,0,77,4,0.417,2,0.25,0.083,0.75,1.6,9.0,18.0,9.0,0.0,0.0,11.6844,18.9176,8.0892,3.0816,1.0272,15.615600000000002,25.2824,10.8108,4.1184,1.3728,36.43,4.34,17.5,32.6,49.9,91.23154587251344,96.73890441974908,32.09,32.09,-6.3648,0.25,0.0,0.0,0.083,0.0,0.0,0.75,0.0,0.0,2.0,0.0,0.0,0.0,,,36.78333333333333,0.0041345093715545,-0.0130046057978866,6.716666666666666,-0.4030261348005501,-0.1780303030303031,17.299999999999997,0.0115606936416183,0.080246913580247,31.0,-0.0180722891566265,-0.03834808259587,51.7,0.0080808080808081,0.0,30.06666666666668,0.1061702861082385,0.0145431552323744,30.06666666666668,0.1061702861082385,0.0145431552323744,8.394009216589861,2.8514285714285714,32.4,1.862857142857143,57.2,1.3364485981308412,71.5,1.0,3.947534494953203,12.306520844208578,-5.892823296524652,-14.057726831552188,0.1831330705032705,15.409502518865914,11.960221212364091,-1.351775687313726,-12.143354282867364,9.83154475982533,19.47386648501363,11.1708
미분류,0,0,28,2,0.583,2,0.917,0.917,0.917,21.8,27.8,17.1,8.6,0.0,0.0,15.494187839755154,16.070804351896246,9.632244637780287,6.771834967332641,2.431031665207449,14.547608199469488,16.600722285773653,8.883822811633195,6.929949968128085,2.637793273023806,33.04,6.82,30.545062061521858,13.869400971397733,55.58553696708041,49.99249127833099,50.00346556384723,26.22,26.22,-0.48965,0.917,0.0,0.0,0.917,0.0,0.0,0.917,0.0,0.0,2.0,0.0,0.0,0.0,,,33.04,0.0,0.9164733178654294,6.82,0.0,-0.0029239766081871,30.545062061521858,0.0,0.0,13.869400971397733,0.0,0.0,55.58553696708041,0.0,0.0,26.22,0.0,0.5208816705336428,26.22,0.0,1.521153846153846,4.84457478005865,1.819787985865724,25.04047490555855,0.4540636042402826,49.59989653802823,0.98412291108594,62.713322676894535,1.0,0.5575344949532024,1.9378822888451523,-2.5534675999420067,-1.0126647700303302,-0.2582951548686445,-3.321096509736355,-2.548112142263422,4.333761279766684,2.8064072971320684,3.961544759825326,6.164430724823603,16.404079605112926
