ENCODED_MCT,ds,yhat,yhat_lower,yhat_upper
003AC99735,2024-10-01,0.22607312022866707,0.20063575044127363,0.25348217111567567
003AC99735,2024-11-01,0.26100692698415606,0.23439394098781552,0.28784538631721246
003AC99735,2024-12-01,0.36346416678609916,0.33346230130615817,0.3932920864782054
00F54829E1,2024-10-01,0.5069414627716048,0.46094731586725585,0.5521086557571901
00F54829E1,2024-11-01,0.5573798417309299,0.508181663703168,0.6075871985105185
00F54829E1,2024-12-01,0.5439710507682249,0.5005462537128544,0.5884090175213629
00FDB35E9C,2024-10-01,0.5739819371839086,0.5324995805182489,0.6146026007095446
00FDB35E9C,2024-11-01,0.5784753010744861,0.5362913086148225,0.6209376301431655
00FDB35E9C,2024-12-01,0.5987857862090917,0.5584855351901433,0.6390028477854955
01EDD97C21,2024-10-01,0.4949032405477042,0.39995062813719723,0.5828558085275746
01EDD97C21,2024-11-01,0.5059571640492786,0.4071282172045369,0.5996875794257993
01EDD97C21,2024-12-01,0.5790599115209071,0.4858166495548222,0.6694711831444855
01FD0FCC3D,2024-10-01,0.35231971708558074,0.19702048455346263,0.4936417213690088
01FD0FCC3D,2024-11-01,0.3264801087631792,0.17729693576705727,0.46803555483128945
01FD0FCC3D,2024-12-01,0.30249722803677,0.1528394176931649,0.4520087351461544
0220D6AA93,2024-10-01,0.3451985740395341,0.3082187502148572,0.38105931010777
0220D6AA93,2024-11-01,0.3194811922589348,0.2829475708998799,0.35453900245519315
0220D6AA93,2024-12-01,0.2673481345500469,0.23254356440545487,0.30271267214833225
029F2B4A59,2024-10-01,0.5848910805209941,0.5333246691126386,0.6388593559434326
029F2B4A59,2024-11-01,0.5971085743891315,0.5437028659996866,0.6489457038393311
029F2B4A59,2024-12-01,0.6943636822214395,0.6380632331556942,0.7464866477576444
02A32AE992,2024-10-01,0.5831913256782983,0.5831913256707615,0.5831913256854062
02A32AE992,2024-11-01,0.5835006637941215,0.5832038915634001,0.5837860711414519
02A32AE992,2024-12-01,0.5832051596005388,0.5822920481889675,0.5841036249018596
