가맹점코드,분석기준일자,가맹점명,가맹점기준면적(주소),가맹점시군구명,업종분류,상권,폐업일,운영개월구간(1~6),객단가비율,배달매출비율,최근12개월_업종매출증감률,최근12개월_상권_매출증감률,최근12개월_업종_월평균가맹점비율,최근12개월_상권_월평균가맹점비율,최근12개월_남성_10-20대비율,최근12개월_남성_30대비율,최근12개월_남성_40대비율,최근12개월_남성_50대비율,최근12개월_남성_60대비율,최근12개월_여성_10-20대비율,최근12개월_여성_30대비율,최근12개월_여성_40대비율,최근12개월_여성_50대비율,최근12개월_여성_60대비율,재방문고객비율,신규고객비율,최근1개월_거주고객비율,최근1개월_직장고객비율,최근1개월_유동고객비율,운영개월수,운영개월수_(분위),운영개월수_(0~1),배달여부,배달매출비율_LOG,최근1개월_매출액_등급(1~6),최근1개월_총이용건수_등급(1~6),최근1개월_이용고객수_등급(1~6),최근1개월_객단가_등급(1~6),충성도점수,30대성별비율차이,업종매출대비비율_정규화,업종건수대비비율_정규화,충성도점수(재방문_비율에서_신규_비율을뺀_것),분석_상권유형,분석_상권특징,상권평균재방문률,재방문갭,성과평가,최우선전략,성공여부,상권유형,cluster
000F03E44A,2023-04-01,육육**,서울특별시 성동구 왕십리로4가길 9,서울 성동구,중식-딤섬/중식만두,뚝섬,,5,1,0.0,90.511,74.3,17.3,8.2,9.12904389127762,23.308197169219454,3.763302667946892,23.308197169219454,6.764880503405264,7.057204142902558,9.0642988991409,3.133398639448736,9.0642988991409,5.4071780182982305,9.3,50.0,7.222946544980443,52.15123859191656,40.625814863103,13,2,0.0398671096345514,0,0.0,6,5,5,3,-50.0,22.0,6.1681260541090035,5.736663355127879,-40.7,유동밀집형,역세권/번화가,12.0,-2.6999999999999993,개선필요,거주고객 10%p 증가,0,직장형,0
000F03E44A,2024-09-01,육육**,서울특별시 성동구 왕십리로4가길 9,서울 성동구,중식-딤섬/중식만두,뚝섬,,4,6,15.5,87.5,63.9,17.2,9.3,13.237399999999996,9.955399999999996,6.618699999999998,14.933099999999996,9.955399999999996,10.962599999999998,8.244599999999998,5.481299999999999,12.366899999999998,8.244599999999998,10.26,7.69,12.165129556433904,43.91743522178305,43.91743522178305,31,3,0.0996677740863787,1,2.803360381,5,5,5,2,2.57,1.7108,10.533581313679734,8.786359540697271,2.5699999999999994,유동밀집형,역세권/번화가,12.0,-2.6999999999999993,개선필요,거주고객 10%p 증가,0,직장형,2
002816BA73,2024-04-01,자갈***********,서울 성동구 청계천로10나길 78,서울 성동구,요리주점,마장동,,2,6,0.0,15.6,20.0,17.5,5.2,5.4384,23.6488,20.0232,22.8248,10.4648,1.1616,5.0512,4.2768,4.8752,2.2352,10.66,6.12,23.8,23.8,52.4,121,5,0.3986710963455149,0,0.0,3,4,4,2,4.54,18.5976,63.54631148487859,24.890257144837467,4.54,유동밀집형,역세권/번화가,12.0,0.8499999999999996,양호,거주고객 10%p 증가,0,직장형,2
0050D68B18,2023-07-01,70**************,서울특별시 성동구 아차산로 87,서울 성동구,룸살롱/단란주점,성수,,6,1,0.0,25.0,33.1,20.6,8.7,8.259257818964837,5.728647124417019,9.58343771280978,30.570630916281473,7.6560424186134,1.3036506740728613,3.9481216668279457,6.604801666936471,21.06894833419399,5.2764616668822075,39.29,28.57,16.7,25.0,58.3,1,1,0.0,0,0.0,2,4,4,1,10.72,1.9688,94.90908670840746,80.91109673543886,10.72,유동중심형,유동인구 많음,23.0,0.4200000000000017,양호,거주고객 10%p 증가,1,직장형,2
00BC189C4B,2024-07-01,땅끝******,서울  성동구  성수1가2동,서울 성동구,한식-해물/생선,뚝섬,,1,1,1.9,22.6,17.2,18.5,8.7,4.5804,20.6812,14.851599999999998,15.059799999999996,14.227,2.0196,9.1188,6.5484,6.6402,6.273,17.31,6.87,33.3,38.1,28.6,260,6,0.8604651162790697,1,1.064710737,3,4,4,2,10.44,11.5624,35.69357484462722,25.728346001894508,10.439999999999998,주거중심형,주거+유동 혼합,25.0,-4.609999999999999,개선필요,거주고객 10%p 증가,0,직장형,2
00BC189C4B,2024-10-01,땅끝******,서울  성동구  성수1가2동,서울 성동구,한식-해물/생선,뚝섬,,1,6,0.0,20.7,15.2,17.8,9.2,5.567099999999999,20.894699999999997,16.9182,15.4722,13.4478,2.1328999999999994,8.005299999999998,6.481799999999999,5.9277999999999995,5.152199999999999,17.17,12.81,33.33333333333333,21.421421421421417,45.24524524524524,263,6,0.8704318936877077,0,0.0,2,3,3,2,4.36,12.8894,73.25624379086477,35.931543562137556,4.360000000000001,주거중심형,주거+유동 혼합,25.0,-4.609999999999999,개선필요,거주고객 10%p 증가,0,직장형,2
00CEAAD71A,2023-10-01,근이***,서울 성동구 왕십리로24나길 6.,서울 성동구,포장마차,왕십리,,3,1,0.0,36.6,43.3,20.4,10.4,10.966400000000002,18.179200000000005,14.057600000000004,21.638400000000004,8.758400000000002,3.933600000000001,6.520800000000001,5.042400000000001,7.7616,3.141600000000001,16.25,5.63,16.7,33.3,50.0,96,5,0.3156146179401993,0,0.0,4,4,4,3,10.62,11.6584,18.668992445070813,20.391377677148075,10.62,주거중심형,주거+유동 혼합,25.0,-10.61,심각,거주고객 10%p 증가,0,직장형,2
00CEAAD71A,2023-11-01,근이***,서울 성동구 왕십리로24나길 6.,서울 성동구,포장마차,왕십리,,3,1,0.0,35.9,42.6,19.4,10.4,11.444400000000003,18.550400000000007,14.062400000000006,22.21560000000001,8.527200000000002,3.855600000000001,6.249600000000002,4.7376000000000005,7.484400000000003,2.8728000000000007,14.29,10.12,33.3,28.6,38.1,97,5,0.3189368770764119,0,0.0,4,4,4,3,4.17,12.3008,26.457269597763556,27.99655753991174,4.17,주거중심형,주거+유동 혼합,25.0,-10.61,심각,거주고객 10%p 증가,0,직장형,2
00CEAAD71A,2023-12-01,근이***,서울 성동구 왕십리로24나길 6.,서울 성동구,포장마차,왕십리,,3,1,0.0,35.4,41.7,19.3,9.9,11.430400000000002,19.326400000000003,15.04,21.131200000000003,8.272000000000002,3.769600000000001,6.3736,4.960000000000001,6.968800000000002,2.7280000000000006,15.08,8.94,15.8,26.3,57.9,98,5,0.3222591362126246,0,0.0,4,4,4,3,6.14,12.9528,22.190005313864567,25.103966915417136,6.140000000000001,주거중심형,주거+유동 혼합,25.0,-10.61,심각,거주고객 10%p 증가,0,직장형,2
00CEAAD71A,2024-02-01,근이***,서울 성동구 왕십리로24나길 6.,서울 성동구,포장마차,왕십리,,3,1,0.0,36.4,42.7,19.3,9.5,10.823000000000002,22.752,15.010000000000002,22.357000000000003,8.058000000000002,2.877,6.048000000000001,3.9900000000000007,5.9430000000000005,2.1420000000000003,14.12,4.52,30.0,40.0,30.0,100,5,0.3289036544850498,0,0.0,4,5,5,3,9.6,16.704,17.89848208303491,18.191899822101057,9.6,주거중심형,주거+유동 혼합,25.0,-10.61,심각,거주고객 10%p 증가,0,직장형,2
